DSB repair/PC/,DSB repair/PCW/,DSB repair/NC/,DSB repair/NCW/,DSB repair/PA/,DSB repair/PAW/,DSB repair/NA/,DSB repair/NAW/,APOBEC-C/PC/,APOBEC-C/PCW/,APOBEC-C/NC/,APOBEC-C/NCW/,APOBEC-C/PA/,APOBEC-C/PAW/,APOBEC-C/NA/,APOBEC-C/NAW/,SBS1/PC/,SBS1/PCW/,SBS1/NC/,SBS1/NCW/,SBS1/PA/,SBS1/PAW/,SBS1/NA/,SBS1/NAW/,APOBEC-D/PC/,APOBEC-D/PCW/,APOBEC-D/NC/,APOBEC-D/NCW/,APOBEC-D/PA/,APOBEC-D/PAW/,APOBEC-D/NA/,APOBEC-D/NAW/,SBS5/PC/,SBS5/PCW/,SBS5/NC/,SBS5/NCW/,SBS5/PA/,SBS5/PAW/,SBS5/NA/,SBS5/NAW/,SBS8/PC/,SBS8/PCW/,SBS8/NC/,SBS8/NCW/,SBS8/PA/,SBS8/PAW/,SBS8/NA/,SBS8/NAW/,SBS8/PC/,SBS8/PCW/,SBS8/NC/,SBS8/NCW/,HRD status/PA/,HRD status/PAW/,HRD status/NA/,HRD status/NAW/
,,,,NPLOC4,0.002692932,ARRB2,-0.000849845,,,,,,,,,,,,,ACTB,0.000503577,,,,,,,STOML2,0.002474943,GLG1,-0.005759359,,,,,UNC93B1,0.001595358,EML1,-0.004505091,,,,,RRAS,0.00362346,ITGAV,-0.005764076,,,,,RAD21,0.000901765,,
,,,,CRTC3,0.002671493,TCEA1,-0.000786903,,,,,,,,,,,,,HLA-E,0.000383064,,,,,,,LNPEP,0.002412185,GPR65,-0.005541399,,,,,GRHL2,0.001405082,DOCK1,-0.004426517,,,,,RACGAP1,0.003451478,WDR7,-0.005721221,,,,,BVES,0.000852145,,
,,,,CD209,0.002632691,TDP1,-0.000782159,,,,,,,,,,,,,1-Mar,3.66E-05,,,,,,,VPS33B,0.002211952,ZBTB1,-0.005483895,,,,,THAP10,0.001337963,MAEA,-0.004418601,,,,,CSK,0.003408662,TCP1,-0.005525644,,,,,MT2A,0.000665704,,
,,,,VPS33B,0.002576962,RAD50,-0.000705177,,,,,,,,,,,,,,,,,,,,,TRIM11,0.00212812,SEC14L1,-0.005477048,,,,,DTX3L,0.001323369,HMGB2,-0.004101292,,,,,BANF1,0.003363935,GAPDH,-0.005519389,,,,,CD84,0.000400945,,
,,,,SEMA4D,0.002155352,TLR4,-0.000606703,,,,,,,,,,,,,,,,,,,,,RIF1,0.002092897,PTK2,-0.005457791,,,,,CCT8,0.001304745,BATF3,-0.004055559,,,,,CDC42,0.003077748,P2RY14,-0.00545011,,,,,CCT4,0.000357924,,
,,,,RBM17,0.002089458,INO80E,-0.000604962,,,,,,,,,,,,,,,,,,,,,CD46,0.002019042,POLR3B,-0.005343713,,,,,POLR3A,0.001300432,LGMN,-0.00364534,,,,,DDOST,0.003047438,TAP1,-0.005387328,,,,,TOP3B,0.000255901,,
,,,,TOP2B,0.002018291,IFNGR1,-0.000164496,,,,,,,,,,,,,,,,,,,,,OSTM1,0.001907714,CD58,-0.005305804,,,,,ARIH2,0.001252491,MTA2,-0.003643447,,,,,IRF3,0.002950041,TRIM26,-0.00538516,,,,,,,,
,,,,DHTKD1,0.001577098,,,,,,,,,,,,,,,,,,,,,,,NOTCH1,0.001619877,HSP90AA1,-0.004975396,,,,,TNFRSF10B,0.001210237,FOXP1,-0.003541031,,,,,BAZ2A,0.002860988,ZFYVE26,-0.005286582,,,,,,,,
,,,,TAP1,0.001461473,,,,,,,,,,,,,,,,,,,,,,,C19orf29,0.001323001,RRM2B,-0.004964715,,,,,NCSTN,0.001189651,HLA-B,-0.003537994,,,,,INPPL1,0.002765665,HDAC8,-0.005248351,,,,,,,,
,,,,CTSH,0.001269291,,,,,,,,,,,,,,,,,,,,,,,ACTR5,0.001157861,RBCK1,-0.004906383,,,,,KIAA0226,0.001162915,IRF2,-0.003412048,,,,,PSMA7,0.002436222,CDK7,-0.005234032,,,,,,,,
,,,,MUTYH,0.001229261,,,,,,,,,,,,,,,,,,,,,,,ARHGEF7,0.000957918,REST,-0.004872101,,,,,FANCM,0.000973318,ANXA2,-0.003055398,,,,,COPS8,0.002381451,ATP6V0A2,-0.005160337,,,,,,,,
,,,,KIF23,0.001076449,,,,,,,,,,,,,,,,,,,,,,,ARPC1A,0.000919966,CTNNB1,-0.004805254,,,,,NUDCD1,0.000842814,IRF1,-0.002939471,,,,,ARPC1A,0.002315504,N6AMT1,-0.004829981,,,,,,,,
